EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA)
3번이 맞다.,The correct answer is number 3.,3番が合ってる。
경찰이 그 사건을 조사하고 있어요.,The police are investigating the incident.,警察がその事件を調査しています。
오늘은 테니스 칠 힘이 없어.,I don't have the energy to play tennis today.,今日はテニスやる力がない。
그 사람은 항상 자기 얘기만 한다.,She always talks only about herself.,その人はいつも自分の話ばかりする。
우리나라에서는 태어나면 바로 한 살이에요. ,"In my country, we are regarded as being one year old as soon as we're born.",我が国では生まれれば既に一歳です。 
배에서 배를 먹었더니 배가 아파요.,I developed a stomachache after I ate the pear in the ship.,船で梨を食べたらお腹が痛くなりました。
이 시간이 모두 함께 모일 수 있는 좋은 기회야.,This time is a good chance to get all together.,この時間が皆一緒に集まることができる良い機会だ。
사용한 후에 물건들을 돌려줘.,Give the stuff back after using it.,使った後物を返して。
"와, 공부할 게 많네요.",Wow! There's a lot to study.,"わ, 勉強する事が多いですね。"
하늘에 저 작은 빛은 뭐지?,What's that little light in the sky?,空にあるあの小さな光は何なの?
혜안이 전화했었다고 전해 주세요.,Please tell him Hyean called.,ヘアンが電話したと伝えてください。
디지털 카메라에는 필름이 필요 없어요.,You don't need film with a digital camera.,デジタルカメラにはフィルムがいらないよ。
한국은 여름에 굉장히 더워요.,Korea is very hot in the summer.,韓国は夏にとても暑いです。
배고파서 죽겠어요.,I am so hungry. I can eat a horse.,お腹がすいてたまらないです。
니 신발 젖었네. 내 신발 신어.,"Your shoes are wet, put on my shoes.",お前の靴は濡れている。 私の靴をはけ。
10분 후에 다시 전화할게.,I'll call you back ten minutes later.,10分の後にまた電話するからね
우리 집은 서울 중심에 있다.,My house is located in the center of Seoul.,我家はソウルの中心にある。
이번 달에는 언제 보름달을 볼 수 있어요?,When can we see a full moon this month?,今月にはいつ満月を見られますか?
아빠는 언제 돌아와?,When is Dad coming back?,パパはいつ帰って来る?
불 껐니?,Did you put out the fire? (or Did you switch off the light?),火消したの? (or 電気消したの?)
물 반 컵을 넣고 섞으세요.,Mix in half a cup of water.,水半カップを入れて交ぜてください。
내가 제일 좋아하는 가수는 조용필이다.,My favorite singer is Yongpil Jo.,私が一番好きな歌手は趙容弼だ。
부끄러워하지 마. 그냥 자연스럽게 행동해.,Don't be shy. Just act natural.,恥ずかしがるな。 ただ自然に行動しろ。
나도 정말 배가 고파.,"I'm really hungry, too.",私も本当にお腹がすいている。
그녀는 차 사고로 부모님을 잃었다.,She lost her parents in a car accident.,彼女は車の事故でご両親を失った。
요즘은 거의 모든 가정에 인터넷이 연결되어 있어요. ,Almost every home is hooked up to the internet now.,この頃はほとんどの家庭にインターネットが繋がれています。 
"에어컨을 켰으니, 시원해질 거야.","With the air conditioner on, it is going to be cool.","エアコンをつけたから, 凉しくなるだろう。"
쇼핑하러 백화점 가자.,Let's go shopping at the department store.,ショッピングしにデパート行こう。
회사를 그만둔다고요?,You're quitting the company?,会社をやめるんだって?
나는 허리가 길고 다리가 짧다.,I have a long torso and short legs.,私は腰が長くて足が短い。
한글은 자음 14개로 되어 있어요. ,Hangeul has fourteen consonants and ten vowels.,"ハングルは子音14個, 母音10個で成り立っています。 "
언니가 있었으면 좋았을 텐데.,I wish I had an older sister.,お姉さんがいたら良かったでしょうに。
이번엔 제대로 좀 해 보자. ,Let's get it right this time.,今度はまともにやろう。 
우리 반은 남학생보다 여학생이 많아. ,My class has more female students than male students.,うちのクラスは男子学生より女学生が多い。 
커피를 마시면 밤에 잠이 안 와요.,I can't sleep at night if I drink coffee.,コーヒーを飲むと夜眠れません。
나는 노래를 잘 못해요.,I am poor at singing.,私は歌が下手です。
이 옷 나한테 맞을까? ,Do you think these clothes will fit me?,この服私に合うかな? 
그 음주 운전자는 결국 사고를 냈다.,The drunk driver finally got a car accident.,その飲酒運転手は結局事故を起こした。
캐나다의 수도가 어디죠?,What's the capital of Canada?,カナダの首都はどこですか?
의자가 열 개밖에 없어요.,There are only ten chairs.,椅子が十個しかないです。
가방 속은 봤어?,Have you looked inside your bag?,かばんの中は見た？
