RTH #,RSH #,RTK #,TH,SH,K,H POS,RTH Keyword,RSH Keyword,RTK Keyword,RTH Read,TH Read,RTH Lesson,RSH Lesson,RTK Lesson,K and H check,SH and TH check,K and TH keywords,SH and TH keywords,K and H Visual Check
0001,0001,0001,一,一,一,,one,one,one,yī,yī,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0002,0002,0002,二,二,二,,two,two,two,èr,èr,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0003,0003,0003,三,三,三,,three,three,three,sān,sān,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0004,0004,0004,四,四,四,,four,four,four,sì,sì,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0005,0005,0005,五,五,五,,five,five,five,wǔ,wǔ,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0006,0006,0006,六,六,六,,six,six,six,liù,liù,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0007,0007,0007,七,七,七,,seven,seven,seven,qī,qī,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0008,0008,0008,八,八,八,,eight,eight,eight,bā,bā,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0009,0009,0009,九,九,九,,nine,nine,nine,jiǔ,jiǔ,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0010,0010,0010,十,十,十,,ten,ten,ten,shí,shí,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0011,0011,0011,口,口,口,,mouth,mouth,mouth,kǒu,kǒu,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0012,0012,0012,日,日,日,,day,day,day,rì,rì,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0013,0013,0013,月,月,月,,month,month,month,yuè,yuè,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0014,0014,0014,田,田,田,,rice field,rice field,rice field,tián,tián,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0015,0015,0015,目,目,目,,eye,eye,eye,mù,mù,RTH1-L01,RSH1-L01,RTK1v5-L01,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0016,0016,0016,古,古,古,,ancient,ancient,old,gǔ,gǔ,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0017,0017,2470,胡,胡,胡,,recklessly,recklessly,uncivilized,hú,hú|Hú,RTH1-L02,RSH1-L02,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0018,0019,0017,吾,吾,吾,,I (literary),I (literary),I,wú,wú,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0019,0020,0019,朋,朋,朋,,companion,companion,companion,péng,péng,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0020,0021,0020,明,明,明,,bright,bright,bright,míng,míng,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0021,0022,0021,唱,唱,唱,,sing,sing,chant,chàng,chàng,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
